"ID","NAMES","intermediaires_AsTheCowRolls_POT_10"
"78320","Jeufosse",5824.58512914
"78321","Jouars-Pontchartrain",18875.36003109
"78322","Jouy-en-Josas",53375.27117272
"78324","Jouy-Mauvoisin",10980.37382408
"78325","Jumeauville",3402.62917673
"78327","Juziers",15348.31825739
"78329","Lainville-en-Vexin",3945.59192593
"78334","Levis-Saint-Nom",7680.89352745
"78335","Limay",15493.7207305
"78337","Limetz-Villez",1535.2107391
"78343","Les Loges-en-Josas",34305.69497804
"78344","Lommoye",815.38942795
"78346","Longnes",3916.50362718
"78349","Longvilliers",5796.26272107
"78350","Louveciennes",72395.33885283
"78354","Magnanville",15421.4838341
"78356","Magny-les-Hameaux",15354.5549278
"78358","Maisons-Laffitte",52807.64532545
"78361","Mantes-la-Jolie",17649.96823972
"78362","Mantes-la-Ville",16972.36743755
"78364","Marcq",4587.46724437
"78366","Mareil-le-Guyon",9190.78926391
"78367","Mareil-Marly",36663.31741133
"78368","Mareil-sur-Mauldre",7713.57453379
"78372","Marly-le-Roi",59329.20082957
"78380","Maule",8549.44930989
"78381","Maulette",2523.42616576
"78382","Maurecourt",36861.16084821
"78383","Maurepas",24372.36625836
"78384","Medan",21386.65162341
"78385","Menerville",5503.11813454
"78389","Mere",5063.46813486
"78391","Mericourt",3894.02649598
"78396","Le Mesnil-le-Roi",48863.08427127
"78397","Le Mesnil-Saint-Denis",16527.80406804
"78398","Les Mesnuls",7291.90789939
"78401","Meulan-en-Yvelines",20699.17642362
"78402","Mezieres-sur-Seine",17232.78320392
"78403","Mezy-sur-Seine",13785.82224578
"78404","Millemont",3155.18506239
"78406","Milon-la-Chapelle",12366.05812602
"78407","Mittainville",641.63726268
